coord,name,uuid,geometry
POINT(126.990494 37.498825),반포공원,park_0,POINT (126.990494 37.498825)
POINT(127.031245 37.477852),말죽거리공원,park_1,POINT (127.031245 37.477852)
POINT(127.036037 37.479681),포이근린공원,park_2,POINT (127.036037 37.479681)
POINT(127.016442 37.465212),우면공원,park_3,POINT (127.016442 37.465212)
POINT(127.016712 37.466158),태봉공원,park_4,POINT (127.016712 37.466158)
POINT(127.016743 37.466518),섬들공원,park_5,POINT (127.016743 37.466518)
POINT(127.04238 37.45859),서초종합체육공원,park_6,POINT (127.04238 37.45859)
POINT(127.042385 37.471543),양재공원,park_7,POINT (127.042385 37.471543)
POINT(127.016712 37.466518),망루공원,park_8,POINT (127.016712 37.466518)
POINT(126.996443 37.476268),방배공원,park_9,POINT (126.996443 37.476268)
POINT(126.988317 37.479508),도구머리공원,park_10,POINT (126.988317 37.479508)
POINT(126.985735 37.472561),서리풀공원,park_11,POINT (126.985735 37.472561)
POINT(127.034344 37.474627),바우뫼공원,park_12,POINT (127.034344 37.474627)
POINT(127.035223 37.478025),양재천공원,park_13,POINT (127.035223 37.478025)
POINT(127.016714 37.468618),송동공원,park_14,POINT (127.016714 37.468618)
POINT(126.990494 37.498825),반포공원,park_0,POINT (126.990494 37.498825)
POINT(127.031245 37.477852),말죽거리공원,park_1,POINT (127.031245 37.477852)
POINT(127.036037 37.479681),포이근린공원,park_2,POINT (127.036037 37.479681)
POINT(127.016442 37.465212),우면공원,park_3,POINT (127.016442 37.465212)
POINT(127.016712 37.466158),태봉공원,park_4,POINT (127.016712 37.466158)
POINT(127.016743 37.466518),섬들공원,park_5,POINT (127.016743 37.466518)
POINT(127.04238 37.45859),서초종합체육공원,park_6,POINT (127.04238 37.45859)
POINT(127.042385 37.471543),양재공원,park_7,POINT (127.042385 37.471543)
POINT(127.016712 37.466518),망루공원,park_8,POINT (127.016712 37.466518)
POINT(126.996443 37.476268),방배공원,park_9,POINT (126.996443 37.476268)
POINT(126.988317 37.479508),도구머리공원,park_10,POINT (126.988317 37.479508)
POINT(126.985735 37.472561),서리풀공원,park_11,POINT (126.985735 37.472561)
POINT(127.034344 37.474627),바우뫼공원,park_12,POINT (127.034344 37.474627)
POINT(127.035223 37.478025),양재천공원,park_13,POINT (127.035223 37.478025)
POINT(127.016714 37.468618),송동공원,park_14,POINT (127.016714 37.468618)
POINT(126.990494 37.498825),반포공원,park_0,POINT (126.990494 37.498825)
POINT(127.031245 37.477852),말죽거리공원,park_1,POINT (127.031245 37.477852)
POINT(127.036037 37.479681),포이근린공원,park_2,POINT (127.036037 37.479681)
POINT(127.016442 37.465212),우면공원,park_3,POINT (127.016442 37.465212)
POINT(127.016712 37.466158),태봉공원,park_4,POINT (127.016712 37.466158)
POINT(127.016743 37.466518),섬들공원,park_5,POINT (127.016743 37.466518)
POINT(127.04238 37.45859),서초종합체육공원,park_6,POINT (127.04238 37.45859)
POINT(127.042385 37.471543),양재공원,park_7,POINT (127.042385 37.471543)
POINT(127.016712 37.466518),망루공원,park_8,POINT (127.016712 37.466518)
POINT(126.996443 37.476268),방배공원,park_9,POINT (126.996443 37.476268)
POINT(126.988317 37.479508),도구머리공원,park_10,POINT (126.988317 37.479508)
POINT(126.985735 37.472561),서리풀공원,park_11,POINT (126.985735 37.472561)
POINT(127.034344 37.474627),바우뫼공원,park_12,POINT (127.034344 37.474627)
POINT(127.035223 37.478025),양재천공원,park_13,POINT (127.035223 37.478025)
POINT(127.016714 37.468618),송동공원,park_14,POINT (127.016714 37.468618)
