x,y,d,t
37.501570000,127.137039000,2017/08/18,13:40:14
37.501665000,127.136989000,2017/08/18,13:40:19
37.501763000,127.136948000,2017/08/18,13:40:22
37.501860000,127.136890000,2017/08/18,13:40:25
37.501949000,127.136812000,2017/08/18,13:40:28
37.502038000,127.136770000,2017/08/18,13:40:31
37.502123000,127.136748000,2017/08/18,13:40:34
37.502218000,127.136737000,2017/08/18,13:40:37
37.502332000,127.136739000,2017/08/18,13:40:40
37.502438000,127.136747000,2017/08/18,13:40:43
37.502539000,127.136757000,2017/08/18,13:40:46
37.502621000,127.136761000,2017/08/18,13:40:49
37.502730000,127.136759000,2017/08/18,13:40:52
37.502824000,127.136751000,2017/08/18,13:40:55
37.502919000,127.136742000,2017/08/18,13:40:58
37.503025000,127.136728000,2017/08/18,13:41:01
37.503120000,127.136721000,2017/08/18,13:41:05
37.503236000,127.136714000,2017/08/18,13:41:09
37.503336000,127.136702000,2017/08/18,13:41:13
37.503418000,127.136697000,2017/08/18,13:41:16
37.503504000,127.136701000,2017/08/18,13:41:19
37.503589000,127.136700000,2017/08/18,13:41:22
37.503690000,127.136684000,2017/08/18,13:41:26
37.503789000,127.136674000,2017/08/18,13:41:30
37.503875000,127.136678000,2017/08/18,13:41:33
37.503979000,127.136673000,2017/08/18,13:41:37
37.504094000,127.136670000,2017/08/18,13:41:42
37.504197000,127.136659000,2017/08/18,13:41:45
37.504282000,127.136647000,2017/08/18,13:41:48
37.504364000,127.136634000,2017/08/18,13:41:51
37.504445000,127.136630000,2017/08/18,13:41:54
37.504537000,127.136620000,2017/08/18,13:41:58
37.504621000,127.136620000,2017/08/18,13:42:02
37.504717000,127.136608000,2017/08/18,13:42:07
37.504804000,127.136588000,2017/08/18,13:42:11
37.504894000,127.136561000,2017/08/18,13:42:15
37.504995000,127.136551000,2017/08/18,13:42:19
37.505081000,127.136544000,2017/08/18,13:42:23
37.505188000,127.136537000,2017/08/18,13:42:27
37.505276000,127.136529000,2017/08/18,13:42:30
37.505372000,127.136526000,2017/08/18,13:42:34
37.505465000,127.136536000,2017/08/18,13:42:38
37.505567000,127.136530000,2017/08/18,13:42:42
37.505651000,127.136526000,2017/08/18,13:42:46
37.505740000,127.136516000,2017/08/18,13:42:51
37.505834000,127.136515000,2017/08/18,13:42:53
37.505927000,127.136519000,2017/08/18,13:42:56
37.506012000,127.136518000,2017/08/18,13:42:59
37.506120000,127.136523000,2017/08/18,13:43:03
37.506210000,127.136520000,2017/08/18,13:43:06
37.506297000,127.136514000,2017/08/18,13:43:09
37.506381000,127.136508000,2017/08/18,13:43:12
37.506464000,127.136494000,2017/08/18,13:43:15
37.506560000,127.136465000,2017/08/18,13:43:19
37.506642000,127.136451000,2017/08/18,13:43:23
37.506746000,127.136438000,2017/08/18,13:43:27
37.506842000,127.136434000,2017/08/18,13:43:31
37.506927000,127.136437000,2017/08/18,13:43:34
37.507023000,127.136444000,2017/08/18,13:43:38
37.507122000,127.136441000,2017/08/18,13:43:41
37.507212000,127.136440000,2017/08/18,13:43:44
37.507307000,127.136427000,2017/08/18,13:43:49
37.507393000,127.136399000,2017/08/18,13:43:54
37.507483000,127.136386000,2017/08/18,13:43:58
37.507579000,127.136374000,2017/08/18,13:44:02
37.507672000,127.136370000,2017/08/18,13:44:06
37.507775000,127.136361000,2017/08/18,13:44:10
37.507868000,127.136349000,2017/08/18,13:44:14
37.507966000,127.136314000,2017/08/18,13:44:18
37.508057000,127.136271000,2017/08/18,13:44:22
37.508733000,127.136205000,2017/08/18,13:44:54
37.508805000,127.136158000,2017/08/18,13:45:03
37.508895000,127.136148000,2017/08/18,13:45:12
37.508980000,127.136117000,2017/08/18,13:45:19
37.509060000,127.136094000,2017/08/18,13:45:24
37.509211000,127.136101000,2017/08/18,13:45:27
37.509344000,127.136066000,2017/08/18,13:45:29
37.509437000,127.136111000,2017/08/18,13:45:30
37.509517000,127.136064000,2017/08/18,13:45:32
37.509595000,127.136096000,2017/08/18,13:45:33
37.509688000,127.136092000,2017/08/18,13:45:35
37.509769000,127.136078000,2017/08/18,13:45:37
37.509877000,127.136074000,2017/08/18,13:45:40
37.509982000,127.136064000,2017/08/18,13:45:44
37.510078000,127.136058000,2017/08/18,13:45:47
37.510181000,127.136040000,2017/08/18,13:45:51
37.510286000,127.136019000,2017/08/18,13:45:55
37.510386000,127.136012000,2017/08/18,13:45:59
37.510473000,127.135993000,2017/08/18,13:46:03
37.510560000,127.135976000,2017/08/18,13:46:07
37.510647000,127.135957000,2017/08/18,13:46:11
37.510746000,127.135935000,2017/08/18,13:46:15
37.510846000,127.135915000,2017/08/18,13:46:19
37.510952000,127.135886000,2017/08/18,13:46:23
37.511036000,127.135862000,2017/08/18,13:46:26
37.511138000,127.135829000,2017/08/18,13:46:30
37.511214000,127.135794000,2017/08/18,13:46:33
37.511308000,127.135750000,2017/08/18,13:46:37
37.511406000,127.135703000,2017/08/18,13:46:41
37.511500000,127.135649000,2017/08/18,13:46:45
37.511592000,127.135602000,2017/08/18,13:46:49
37.511683000,127.135558000,2017/08/18,13:46:53
37.511775000,127.135518000,2017/08/18,13:46:57
37.511866000,127.135462000,2017/08/18,13:47:02
37.511944000,127.135407000,2017/08/18,13:47:06
37.512032000,127.135351000,2017/08/18,13:47:10
37.512124000,127.135301000,2017/08/18,13:47:14
37.512201000,127.135252000,2017/08/18,13:47:18
37.512280000,127.135210000,2017/08/18,13:47:22
37.512363000,127.135162000,2017/08/18,13:47:26
37.512452000,127.135122000,2017/08/18,13:47:30
37.512557000,127.135105000,2017/08/18,13:47:34
37.512644000,127.135088000,2017/08/18,13:47:37
37.512725000,127.135068000,2017/08/18,13:47:40
37.512814000,127.135050000,2017/08/18,13:47:43
37.512920000,127.135025000,2017/08/18,13:47:47
37.513034000,127.134953000,2017/08/18,13:47:50
37.513123000,127.134911000,2017/08/18,13:47:52
37.513202000,127.134867000,2017/08/18,13:47:55
37.513288000,127.134812000,2017/08/18,13:47:58
37.513363000,127.134759000,2017/08/18,13:48:01
37.513450000,127.134689000,2017/08/18,13:48:05
37.513542000,127.134650000,2017/08/18,13:48:09
37.513617000,127.134586000,2017/08/18,13:48:13
37.513700000,127.134528000,2017/08/18,13:48:17
37.513796000,127.134493000,2017/08/18,13:48:21
37.513887000,127.134446000,2017/08/18,13:48:25
37.513972000,127.134403000,2017/08/18,13:48:29
37.514052000,127.134353000,2017/08/18,13:48:33
37.514128000,127.134306000,2017/08/18,13:48:37
37.514212000,127.134244000,2017/08/18,13:48:41
37.514285000,127.134195000,2017/08/18,13:48:45
37.514364000,127.134144000,2017/08/18,13:48:49
37.514446000,127.134096000,2017/08/18,13:48:53
37.514522000,127.134047000,2017/08/18,13:48:57
37.514598000,127.134005000,2017/08/18,13:49:01
37.514673000,127.133957000,2017/08/18,13:49:05
37.514753000,127.133916000,2017/08/18,13:49:09
37.514834000,127.133869000,2017/08/18,13:49:13
37.514913000,127.133834000,2017/08/18,13:49:17
37.514998000,127.133798000,2017/08/18,13:49:21
37.515096000,127.133759000,2017/08/18,13:49:25
37.515201000,127.133728000,2017/08/18,13:49:31
37.515313000,127.133756000,2017/08/18,13:49:33
37.515404000,127.133702000,2017/08/18,13:49:37
37.515494000,127.133657000,2017/08/18,13:49:41
37.515578000,127.133612000,2017/08/18,13:49:45
37.515663000,127.133568000,2017/08/18,13:49:49
37.515739000,127.133521000,2017/08/18,13:49:53
37.515816000,127.133472000,2017/08/18,13:49:57
37.515903000,127.133410000,2017/08/18,13:50:02
37.515978000,127.133355000,2017/08/18,13:50:06
37.516051000,127.133290000,2017/08/18,13:50:10
37.516122000,127.133211000,2017/08/18,13:50:14
37.516190000,127.133125000,2017/08/18,13:50:18
37.516245000,127.133036000,2017/08/18,13:50:22
37.516299000,127.132948000,2017/08/18,13:50:26
37.516337000,127.132846000,2017/08/18,13:50:30
37.516378000,127.132743000,2017/08/18,13:50:34
37.516424000,127.132643000,2017/08/18,13:50:38
37.516475000,127.132551000,2017/08/18,13:50:42
37.516526000,127.132465000,2017/08/18,13:50:46
37.516591000,127.132383000,2017/08/18,13:50:50
37.516651000,127.132287000,2017/08/18,13:50:54
37.516697000,127.132195000,2017/08/18,13:50:58
37.516712000,127.132086000,2017/08/18,13:51:02
37.516740000,127.131984000,2017/08/18,13:51:05
37.516757000,127.131860000,2017/08/18,13:51:09
37.516786000,127.131749000,2017/08/18,13:51:13
37.516817000,127.131621000,2017/08/18,13:51:18
37.516839000,127.131441000,2017/08/18,13:51:25
37.516959000,127.131514000,2017/08/18,13:51:30
37.517084000,127.131431000,2017/08/18,13:51:34
37.517083000,127.131311000,2017/08/18,13:51:36
37.517105000,127.131165000,2017/08/18,13:51:39
37.517121000,127.131053000,2017/08/18,13:51:42
37.517147000,127.130933000,2017/08/18,13:51:46
37.517180000,127.130831000,2017/08/18,13:51:50
37.517224000,127.130745000,2017/08/18,13:51:54
37.517277000,127.130637000,2017/08/18,13:51:59
37.517311000,127.130538000,2017/08/18,13:52:03
37.517351000,127.130445000,2017/08/18,13:52:07
37.517423000,127.130288000,2017/08/18,13:52:14
37.517469000,127.130179000,2017/08/18,13:52:19
37.517513000,127.130073000,2017/08/18,13:52:24
37.517555000,127.129973000,2017/08/18,13:52:31
37.517595000,127.129881000,2017/08/18,13:52:39
37.517643000,127.129788000,2017/08/18,13:52:45
37.517690000,127.129705000,2017/08/18,13:52:49
37.517748000,127.129612000,2017/08/18,13:52:54
37.517820000,127.129525000,2017/08/18,13:52:59
37.517887000,127.129456000,2017/08/18,13:53:03
37.517970000,127.129377000,2017/08/18,13:53:07
37.518041000,127.129321000,2017/08/18,13:53:11
37.518127000,127.129248000,2017/08/18,13:53:17
37.518215000,127.129186000,2017/08/18,13:53:21
37.518305000,127.129148000,2017/08/18,13:53:25
37.518391000,127.129125000,2017/08/18,13:53:31
37.518472000,127.129108000,2017/08/18,13:53:38
37.518559000,127.129099000,2017/08/18,13:53:44
37.518649000,127.129079000,2017/08/18,13:53:50
37.518735000,127.129072000,2017/08/18,13:53:58
37.518818000,127.129049000,2017/08/18,13:54:06
37.518900000,127.129055000,2017/08/18,13:54:15
37.518997000,127.129023000,2017/08/18,13:54:23
37.519091000,127.128994000,2017/08/18,13:54:27
37.519190000,127.128970000,2017/08/18,13:54:31
37.519273000,127.128945000,2017/08/18,13:54:34
37.519375000,127.128930000,2017/08/18,13:54:38
