x,y,d,t
37.499013000,127.133236000,2015/08/28,12:28:02
37.499262000,127.133045000,2015/08/28,12:28:06
37.499150000,127.133283000,2015/08/28,12:28:09
37.499071000,127.133333000,2015/08/28,12:28:13
37.498825000,127.133317000,2015/08/28,12:28:22
37.498747000,127.133380000,2015/08/28,12:28:28
37.498692000,127.133459000,2015/08/28,12:28:35
37.498635000,127.133542000,2015/08/28,12:28:44
37.498583000,127.133641000,2015/08/28,12:28:53
37.498540000,127.133740000,2015/08/28,12:29:00
37.498573000,127.133836000,2015/08/28,12:29:30
37.498622000,127.133919000,2015/08/28,12:29:38
37.498678000,127.134002000,2015/08/28,12:29:46
37.498703000,127.134104000,2015/08/28,12:29:53
37.498744000,127.134195000,2015/08/28,12:29:59
37.498746000,127.134309000,2015/08/28,12:30:06
37.498798000,127.134406000,2015/08/28,12:30:12
37.498863000,127.134484000,2015/08/28,12:30:19
37.498915000,127.134574000,2015/08/28,12:30:24
37.498967000,127.134658000,2015/08/28,12:30:32
37.499030000,127.134737000,2015/08/28,12:30:41
37.499096000,127.134829000,2015/08/28,12:30:49
37.499156000,127.134900000,2015/08/28,12:30:55
37.499219000,127.134986000,2015/08/28,12:31:03
37.499296000,127.135058000,2015/08/28,12:31:10
37.499353000,127.135143000,2015/08/28,12:31:17
37.499407000,127.135230000,2015/08/28,12:31:24
37.499484000,127.135292000,2015/08/28,12:31:30
37.499551000,127.135362000,2015/08/28,12:31:36
37.499618000,127.135426000,2015/08/28,12:31:42
37.499681000,127.135499000,2015/08/28,12:32:07
37.499726000,127.135588000,2015/08/28,12:32:15
37.499785000,127.135659000,2015/08/28,12:32:22
37.499863000,127.135712000,2015/08/28,12:32:29
37.499929000,127.135793000,2015/08/28,12:32:37
37.500003000,127.135870000,2015/08/28,12:32:44
37.500072000,127.135945000,2015/08/28,12:32:50
37.500119000,127.136031000,2015/08/28,12:32:57
37.500178000,127.136110000,2015/08/28,12:33:05
37.500263000,127.136136000,2015/08/28,12:33:12
37.500344000,127.136175000,2015/08/28,12:33:24
37.500396000,127.136257000,2015/08/28,12:33:31
37.500392000,127.136375000,2015/08/28,12:33:39
37.500463000,127.136474000,2015/08/28,12:33:48
37.500545000,127.136543000,2015/08/28,12:33:56
37.500598000,127.136635000,2015/08/28,12:34:02
37.500652000,127.136717000,2015/08/28,12:34:09
37.500721000,127.136776000,2015/08/28,12:34:14
37.500797000,127.136830000,2015/08/28,12:34:20
37.500864000,127.136907000,2015/08/28,12:34:28
37.500931000,127.136970000,2015/08/28,12:34:35
37.500996000,127.137041000,2015/08/28,12:34:40
37.501064000,127.137106000,2015/08/28,12:34:45
37.501130000,127.137178000,2015/08/28,12:34:52
37.501205000,127.137238000,2015/08/28,12:34:58
37.501320000,127.137218000,2015/08/28,12:35:08
37.501402000,127.137165000,2015/08/28,12:35:13
37.501483000,127.137116000,2015/08/28,12:35:21
37.501576000,127.137140000,2015/08/28,12:35:31
37.501654000,127.137101000,2015/08/28,12:35:37
37.501745000,127.137069000,2015/08/28,12:35:43
37.501827000,127.137032000,2015/08/28,12:35:49
37.501912000,127.136947000,2015/08/28,12:35:56
37.501996000,127.136871000,2015/08/28,12:36:02
37.502077000,127.136797000,2015/08/28,12:36:06
37.502159000,127.136759000,2015/08/28,12:36:10
37.502254000,127.136768000,2015/08/28,12:36:15
37.502337000,127.136763000,2015/08/28,12:36:18
37.502429000,127.136774000,2015/08/28,12:36:22
37.502508000,127.136797000,2015/08/28,12:36:27
37.502606000,127.136783000,2015/08/28,12:36:30
37.502687000,127.136766000,2015/08/28,12:36:34
37.502785000,127.136730000,2015/08/28,12:36:38
37.502870000,127.136693000,2015/08/28,12:36:42
37.502957000,127.136705000,2015/08/28,12:36:46
37.503050000,127.136711000,2015/08/28,12:36:51
37.503139000,127.136714000,2015/08/28,12:36:56
37.503236000,127.136705000,2015/08/28,12:37:00
37.503336000,127.136697000,2015/08/28,12:37:03
37.503427000,127.136717000,2015/08/28,12:37:07
37.503518000,127.136719000,2015/08/28,12:37:12
37.503599000,127.136733000,2015/08/28,12:37:17
37.503685000,127.136731000,2015/08/28,12:37:21
37.503770000,127.136742000,2015/08/28,12:37:25
37.503865000,127.136741000,2015/08/28,12:37:30
37.503949000,127.136735000,2015/08/28,12:37:35
37.504036000,127.136686000,2015/08/28,12:37:40
37.504121000,127.136685000,2015/08/28,12:37:42
37.504209000,127.136692000,2015/08/28,12:37:47
37.504292000,127.136686000,2015/08/28,12:37:51
37.504385000,127.136646000,2015/08/28,12:37:55
37.504479000,127.136658000,2015/08/28,12:38:00
37.504567000,127.136658000,2015/08/28,12:38:04
37.504664000,127.136630000,2015/08/28,12:38:09
37.504749000,127.136616000,2015/08/28,12:38:14
37.504846000,127.136585000,2015/08/28,12:38:18
37.504949000,127.136537000,2015/08/28,12:38:22
37.505036000,127.136537000,2015/08/28,12:38:30
37.505134000,127.136529000,2015/08/28,12:38:33
37.505232000,127.136539000,2015/08/28,12:38:37
37.505325000,127.136523000,2015/08/28,12:38:42
37.505416000,127.136520000,2015/08/28,12:38:45
37.505503000,127.136551000,2015/08/28,12:38:48
37.505582000,127.136569000,2015/08/28,12:38:53
37.505689000,127.136529000,2015/08/28,12:38:57
37.505829000,127.136543000,2015/08/28,12:39:01
37.505925000,127.136558000,2015/08/28,12:39:06
37.506008000,127.136549000,2015/08/28,12:39:10
37.506093000,127.136540000,2015/08/28,12:39:13
37.506198000,127.136542000,2015/08/28,12:39:18
37.506300000,127.136515000,2015/08/28,12:39:22
