x,y,d,t
37.501924000,127.136912000,2016/11/26,03:07:15
37.501904000,127.136794000,2016/11/26,03:07:17
37.501965000,127.136711000,2016/11/26,03:07:27
37.502067000,127.136687000,2016/11/26,03:07:35
37.502170000,127.136713000,2016/11/26,03:07:41
37.502266000,127.136740000,2016/11/26,03:07:47
37.502351000,127.136815000,2016/11/26,03:07:54
37.502463000,127.136800000,2016/11/26,03:07:59
37.502554000,127.136789000,2016/11/26,03:08:02
37.502673000,127.136767000,2016/11/26,03:08:06
37.502766000,127.136748000,2016/11/26,03:08:09
37.502871000,127.136721000,2016/11/26,03:08:13
37.502984000,127.136685000,2016/11/26,03:08:17
37.503076000,127.136678000,2016/11/26,03:08:20
37.503184000,127.136667000,2016/11/26,03:08:24
37.503297000,127.136666000,2016/11/26,03:08:28
37.503405000,127.136670000,2016/11/26,03:08:32
37.503523000,127.136675000,2016/11/26,03:08:36
37.503637000,127.136681000,2016/11/26,03:08:40
37.503738000,127.136693000,2016/11/26,03:08:44
37.503850000,127.136687000,2016/11/26,03:08:48
37.503953000,127.136658000,2016/11/26,03:08:53
37.504054000,127.136647000,2016/11/26,03:08:57
37.504155000,127.136656000,2016/11/26,03:09:00
37.504249000,127.136655000,2016/11/26,03:09:03
37.504369000,127.136650000,2016/11/26,03:09:07
37.504484000,127.136648000,2016/11/26,03:09:11
37.504592000,127.136643000,2016/11/26,03:09:15
37.504696000,127.136627000,2016/11/26,03:09:19
37.504803000,127.136593000,2016/11/26,03:09:23
37.504896000,127.136565000,2016/11/26,03:09:27
37.504994000,127.136556000,2016/11/26,03:09:31
37.505098000,127.136547000,2016/11/26,03:09:35
37.505198000,127.136538000,2016/11/26,03:09:39
37.505298000,127.136540000,2016/11/26,03:09:43
37.505418000,127.136550000,2016/11/26,03:09:47
37.505512000,127.136545000,2016/11/26,03:09:50
37.505631000,127.136537000,2016/11/26,03:09:54
37.505742000,127.136517000,2016/11/26,03:09:58
37.505851000,127.136523000,2016/11/26,03:10:02
37.505953000,127.136520000,2016/11/26,03:10:06
37.506057000,127.136514000,2016/11/26,03:10:10
37.506156000,127.136510000,2016/11/26,03:10:14
37.506254000,127.136502000,2016/11/26,03:10:18
37.506347000,127.136486000,2016/11/26,03:10:22
37.506451000,127.136473000,2016/11/26,03:10:27
37.506553000,127.136507000,2016/11/26,03:10:33
37.506657000,127.136529000,2016/11/26,03:10:38
37.506750000,127.136535000,2016/11/26,03:10:42
37.506859000,127.136529000,2016/11/26,03:10:46
37.506950000,127.136511000,2016/11/26,03:10:49
37.507055000,127.136487000,2016/11/26,03:10:53
37.507159000,127.136461000,2016/11/26,03:10:56
37.507277000,127.136438000,2016/11/26,03:11:00
37.507397000,127.136427000,2016/11/26,03:11:04
37.507490000,127.136417000,2016/11/26,03:11:07
37.507602000,127.136407000,2016/11/26,03:11:11
37.507708000,127.136385000,2016/11/26,03:11:15
37.507817000,127.136366000,2016/11/26,03:11:19
37.507916000,127.136341000,2016/11/26,03:11:23
37.508007000,127.136290000,2016/11/26,03:11:27
37.508105000,127.136276000,2016/11/26,03:11:31
37.508200000,127.136265000,2016/11/26,03:11:35
37.508291000,127.136255000,2016/11/26,03:11:39
37.508395000,127.136231000,2016/11/26,03:11:44
37.508496000,127.136212000,2016/11/26,03:11:49
37.508665000,127.136183000,2016/11/26,03:11:58
37.508764000,127.136164000,2016/11/26,03:12:00
37.508873000,127.136170000,2016/11/26,03:12:03
37.508977000,127.136161000,2016/11/26,03:12:07
37.509071000,127.136147000,2016/11/26,03:12:11
37.509162000,127.136139000,2016/11/26,03:12:15
37.509273000,127.136125000,2016/11/26,03:12:20
37.509367000,127.136106000,2016/11/26,03:12:24
37.509475000,127.136106000,2016/11/26,03:12:28
37.509592000,127.136104000,2016/11/26,03:12:32
