x,y,d,t
37.499347000,127.130987000,2016/10/25,12:02:59
37.499265000,127.131072000,2016/10/25,12:03:03
37.499193000,127.131147000,2016/10/25,12:03:07
37.499114000,127.131245000,2016/10/25,12:03:11
37.499051000,127.131333000,2016/10/25,12:03:15
37.499002000,127.131452000,2016/10/25,12:03:20
37.499004000,127.131568000,2016/10/25,12:03:27
37.499066000,127.131667000,2016/10/25,12:03:32
37.499133000,127.131760000,2016/10/25,12:03:36
37.499211000,127.131827000,2016/10/25,12:03:41
37.499290000,127.131899000,2016/10/25,12:03:45
37.499378000,127.131941000,2016/10/25,12:03:49
37.499408000,127.132053000,2016/10/25,12:03:55
37.499343000,127.132166000,2016/10/25,12:04:00
37.499274000,127.132275000,2016/10/25,12:04:04
37.499218000,127.132379000,2016/10/25,12:04:08
37.499149000,127.132489000,2016/10/25,12:04:12
37.499104000,127.132608000,2016/10/25,12:04:17
37.499067000,127.132743000,2016/10/25,12:04:21
37.499018000,127.132866000,2016/10/25,12:04:25
37.498969000,127.132975000,2016/10/25,12:04:30
37.498900000,127.133075000,2016/10/25,12:04:34
37.498835000,127.133173000,2016/10/25,12:04:38
37.498769000,127.133286000,2016/10/25,12:04:42
37.498714000,127.133382000,2016/10/25,12:04:45
37.498641000,127.133486000,2016/10/25,12:04:49
37.498585000,127.133608000,2016/10/25,12:04:54
37.498532000,127.133708000,2016/10/25,12:04:59
37.498460000,127.133789000,2016/10/25,12:05:07
37.498387000,127.133882000,2016/10/25,12:05:11
37.498313000,127.133968000,2016/10/25,12:05:15
37.498252000,127.134066000,2016/10/25,12:05:19
37.498205000,127.134177000,2016/10/25,12:05:24
37.498251000,127.134275000,2016/10/25,12:06:11
37.498342000,127.134315000,2016/10/25,12:06:18
37.498433000,127.134398000,2016/10/25,12:06:24
37.498512000,127.134483000,2016/10/25,12:06:28
37.498585000,127.134552000,2016/10/25,12:06:32
37.498673000,127.134626000,2016/10/25,12:06:36
37.498740000,127.134726000,2016/10/25,12:06:40
37.498824000,127.134832000,2016/10/25,12:06:44
37.498896000,127.134914000,2016/10/25,12:06:47
37.498977000,127.135022000,2016/10/25,12:06:51
37.499071000,127.135116000,2016/10/25,12:06:55
37.499134000,127.135200000,2016/10/25,12:06:58
37.499202000,127.135316000,2016/10/25,12:07:02
37.499280000,127.135426000,2016/10/25,12:07:06
37.499362000,127.135524000,2016/10/25,12:07:10
37.499445000,127.135616000,2016/10/25,12:07:14
37.499519000,127.135689000,2016/10/25,12:07:18
37.499589000,127.135772000,2016/10/25,12:07:22
37.499670000,127.135846000,2016/10/25,12:07:28
37.499746000,127.135943000,2016/10/25,12:07:32
37.499813000,127.136025000,2016/10/25,12:07:35
37.499887000,127.136125000,2016/10/25,12:07:39
37.499988000,127.136202000,2016/10/25,12:07:43
37.500087000,127.136181000,2016/10/25,12:07:46
37.500193000,127.136132000,2016/10/25,12:07:50
37.500300000,127.136125000,2016/10/25,12:07:54
37.500382000,127.136212000,2016/10/25,12:07:58
37.500401000,127.136335000,2016/10/25,12:08:02
37.500469000,127.136420000,2016/10/25,12:08:07
37.500537000,127.136516000,2016/10/25,12:08:12
37.500615000,127.136606000,2016/10/25,12:08:17
37.500693000,127.136720000,2016/10/25,12:08:21
37.500769000,127.136786000,2016/10/25,12:08:24
37.500858000,127.136860000,2016/10/25,12:08:28
37.500938000,127.136944000,2016/10/25,12:08:32
37.501022000,127.137014000,2016/10/25,12:08:39
37.501108000,127.137069000,2016/10/25,12:08:47
37.501191000,127.137140000,2016/10/25,12:08:56
37.501272000,127.137203000,2016/10/25,12:09:05
37.501338000,127.137121000,2016/10/25,12:09:27
37.501414000,127.137028000,2016/10/25,12:09:33
37.501499000,127.136923000,2016/10/25,12:09:37
37.501571000,127.136829000,2016/10/25,12:09:41
37.501660000,127.136783000,2016/10/25,12:09:45
37.501761000,127.136777000,2016/10/25,12:09:51
37.501863000,127.136716000,2016/10/25,12:09:56
37.501956000,127.136686000,2016/10/25,12:10:00
37.502063000,127.136706000,2016/10/25,12:10:05
37.502160000,127.136716000,2016/10/25,12:10:08
37.502255000,127.136733000,2016/10/25,12:10:11
37.502351000,127.136750000,2016/10/25,12:10:14
37.502445000,127.136750000,2016/10/25,12:10:18
37.502555000,127.136748000,2016/10/25,12:10:23
37.502650000,127.136722000,2016/10/25,12:10:27
37.502747000,127.136687000,2016/10/25,12:10:31
37.502853000,127.136672000,2016/10/25,12:10:35
37.502955000,127.136650000,2016/10/25,12:10:39
37.503058000,127.136616000,2016/10/25,12:10:44
37.503157000,127.136610000,2016/10/25,12:10:48
37.503261000,127.136610000,2016/10/25,12:10:52
37.503377000,127.136611000,2016/10/25,12:10:56
37.503485000,127.136610000,2016/10/25,12:11:00
37.503598000,127.136610000,2016/10/25,12:11:04
37.503696000,127.136617000,2016/10/25,12:11:08
37.503787000,127.136631000,2016/10/25,12:11:11
37.503903000,127.136631000,2016/10/25,12:11:15
37.504003000,127.136639000,2016/10/25,12:11:19
37.504104000,127.136631000,2016/10/25,12:11:25
37.504219000,127.136638000,2016/10/25,12:11:29
37.504328000,127.136621000,2016/10/25,12:11:33
37.504443000,127.136618000,2016/10/25,12:11:37
37.504553000,127.136604000,2016/10/25,12:11:41
37.504661000,127.136571000,2016/10/25,12:11:45
37.504760000,127.136546000,2016/10/25,12:11:49
37.504864000,127.136534000,2016/10/25,12:11:53
37.504980000,127.136533000,2016/10/25,12:11:57
37.505087000,127.136529000,2016/10/25,12:12:01
37.505189000,127.136519000,2016/10/25,12:12:05
37.505295000,127.136508000,2016/10/25,12:12:09
37.505392000,127.136510000,2016/10/25,12:12:13
37.505483000,127.136520000,2016/10/25,12:12:17
37.505580000,127.136520000,2016/10/25,12:12:21
37.505687000,127.136513000,2016/10/25,12:12:25
37.505775000,127.136538000,2016/10/25,12:12:30
37.505876000,127.136542000,2016/10/25,12:12:34
37.505981000,127.136536000,2016/10/25,12:12:38
37.506081000,127.136541000,2016/10/25,12:12:42
