x,y,d,t
37.501598000,127.137012000,2017/04/17,13:37:46
37.501616000,127.137014000,2017/04/17,13:37:46
37.501731000,127.137014000,2017/04/17,13:37:52
37.501839000,127.136962000,2017/04/17,13:37:55
37.501946000,127.136882000,2017/04/17,13:37:59
37.502032000,127.136803000,2017/04/17,13:38:02
37.502108000,127.136738000,2017/04/17,13:38:05
37.502223000,127.136706000,2017/04/17,13:38:09
37.502317000,127.136714000,2017/04/17,13:38:12
37.502419000,127.136728000,2017/04/17,13:38:15
37.502511000,127.136741000,2017/04/17,13:38:18
37.502603000,127.136743000,2017/04/17,13:38:21
37.502697000,127.136729000,2017/04/17,13:38:24
37.502789000,127.136712000,2017/04/17,13:38:27
37.502898000,127.136696000,2017/04/17,13:38:31
37.503010000,127.136690000,2017/04/17,13:38:35
37.503119000,127.136685000,2017/04/17,13:38:39
37.503232000,127.136683000,2017/04/17,13:38:43
37.503344000,127.136678000,2017/04/17,13:38:47
37.503459000,127.136685000,2017/04/17,13:38:51
37.503569000,127.136679000,2017/04/17,13:38:55
37.503673000,127.136679000,2017/04/17,13:38:59
37.503780000,127.136679000,2017/04/17,13:39:03
37.503888000,127.136679000,2017/04/17,13:39:07
37.503987000,127.136675000,2017/04/17,13:39:11
37.504083000,127.136675000,2017/04/17,13:39:17
37.504193000,127.136674000,2017/04/17,13:39:21
37.504307000,127.136664000,2017/04/17,13:39:25
37.504414000,127.136658000,2017/04/17,13:39:29
37.504518000,127.136644000,2017/04/17,13:39:33
37.504619000,127.136625000,2017/04/17,13:39:37
37.504710000,127.136618000,2017/04/17,13:39:41
37.504812000,127.136594000,2017/04/17,13:39:45
37.504907000,127.136566000,2017/04/17,13:39:49
37.504994000,127.136530000,2017/04/17,13:39:53
37.505108000,127.136524000,2017/04/17,13:39:58
37.505217000,127.136527000,2017/04/17,13:40:03
37.505313000,127.136546000,2017/04/17,13:40:07
37.505429000,127.136559000,2017/04/17,13:40:11
37.505533000,127.136548000,2017/04/17,13:40:15
37.505652000,127.136546000,2017/04/17,13:40:19
37.505744000,127.136541000,2017/04/17,13:40:22
37.505844000,127.136537000,2017/04/17,13:40:26
37.505942000,127.136541000,2017/04/17,13:40:30
37.506054000,127.136551000,2017/04/17,13:40:34
37.506165000,127.136557000,2017/04/17,13:40:38
37.506277000,127.136548000,2017/04/17,13:40:42
37.506372000,127.136524000,2017/04/17,13:40:46
37.506475000,127.136500000,2017/04/17,13:40:49
37.506568000,127.136460000,2017/04/17,13:40:52
37.506661000,127.136429000,2017/04/17,13:40:55
37.506759000,127.136425000,2017/04/17,13:40:59
37.506873000,127.136423000,2017/04/17,13:41:03
37.506968000,127.136413000,2017/04/17,13:41:06
37.507073000,127.136407000,2017/04/17,13:41:09
37.507188000,127.136402000,2017/04/17,13:41:13
37.507300000,127.136396000,2017/04/17,13:41:17
37.507408000,127.136403000,2017/04/17,13:41:21
37.507501000,127.136401000,2017/04/17,13:41:25
37.507606000,127.136383000,2017/04/17,13:41:29
37.507717000,127.136351000,2017/04/17,13:41:33
37.507809000,127.136325000,2017/04/17,13:41:36
37.507928000,127.136319000,2017/04/17,13:41:40
37.508018000,127.136302000,2017/04/17,13:41:43
37.508127000,127.136264000,2017/04/17,13:41:47
37.508223000,127.136230000,2017/04/17,13:41:51
37.508322000,127.136189000,2017/04/17,13:41:55
37.508411000,127.136108000,2017/04/17,13:41:59
37.508492000,127.136011000,2017/04/17,13:42:03
37.508576000,127.135927000,2017/04/17,13:42:07
37.508689000,127.136166000,2017/04/17,13:42:11
37.508784000,127.136251000,2017/04/17,13:42:13
37.508882000,127.136259000,2017/04/17,13:42:16
37.508989000,127.136211000,2017/04/17,13:42:20
37.509080000,127.136180000,2017/04/17,13:42:24
37.509183000,127.136159000,2017/04/17,13:42:28
37.509277000,127.136143000,2017/04/17,13:42:32
37.509370000,127.136114000,2017/04/17,13:42:36
37.509487000,127.136090000,2017/04/17,13:42:40
37.509581000,127.136079000,2017/04/17,13:42:43
37.509671000,127.136077000,2017/04/17,13:42:46
37.509783000,127.136075000,2017/04/17,13:42:50
37.509890000,127.136064000,2017/04/17,13:42:54
37.509996000,127.136046000,2017/04/17,13:42:58
37.510099000,127.136045000,2017/04/17,13:43:02
37.510194000,127.136043000,2017/04/17,13:43:06
37.510309000,127.136033000,2017/04/17,13:43:11
37.510404000,127.136017000,2017/04/17,13:43:15
37.510513000,127.136009000,2017/04/17,13:43:20
37.510620000,127.135976000,2017/04/17,13:43:25
37.510725000,127.135937000,2017/04/17,13:43:30
37.510836000,127.135917000,2017/04/17,13:43:35
37.510930000,127.135878000,2017/04/17,13:43:39
37.511024000,127.135843000,2017/04/17,13:43:43
37.511130000,127.135803000,2017/04/17,13:43:47
37.511238000,127.135765000,2017/04/17,13:43:51
37.511345000,127.135725000,2017/04/17,13:43:55
37.511441000,127.135676000,2017/04/17,13:43:59
37.511551000,127.135628000,2017/04/17,13:44:03
37.511645000,127.135577000,2017/04/17,13:44:07
37.511744000,127.135514000,2017/04/17,13:44:12
37.511827000,127.135460000,2017/04/17,13:44:16
37.511916000,127.135412000,2017/04/17,13:44:20
37.512001000,127.135371000,2017/04/17,13:44:24
37.512103000,127.135334000,2017/04/17,13:44:28
37.512189000,127.135286000,2017/04/17,13:44:32
37.512291000,127.135223000,2017/04/17,13:44:37
37.512388000,127.135168000,2017/04/17,13:44:42
37.512485000,127.135132000,2017/04/17,13:44:46
37.512585000,127.135091000,2017/04/17,13:44:51
37.512676000,127.135060000,2017/04/17,13:44:54
37.512779000,127.135027000,2017/04/17,13:44:58
37.512886000,127.134989000,2017/04/17,13:45:02
37.512983000,127.134961000,2017/04/17,13:45:06
37.513091000,127.134951000,2017/04/17,13:45:10
37.513176000,127.134914000,2017/04/17,13:45:14
37.513263000,127.134855000,2017/04/17,13:45:19
37.513339000,127.134759000,2017/04/17,13:45:24
37.513431000,127.134686000,2017/04/17,13:45:28
37.513535000,127.134625000,2017/04/17,13:45:33
37.513641000,127.134591000,2017/04/17,13:45:37
37.513754000,127.134539000,2017/04/17,13:45:41
37.513836000,127.134484000,2017/04/17,13:45:44
37.513924000,127.134421000,2017/04/17,13:45:48
37.514031000,127.134367000,2017/04/17,13:45:52
37.514110000,127.134312000,2017/04/17,13:45:56
37.514208000,127.134259000,2017/04/17,13:46:00
37.514321000,127.134205000,2017/04/17,13:46:04
37.514409000,127.134167000,2017/04/17,13:46:07
37.514515000,127.134108000,2017/04/17,13:46:11
37.514609000,127.134061000,2017/04/17,13:46:15
37.514713000,127.134001000,2017/04/17,13:46:19
37.514809000,127.133956000,2017/04/17,13:46:23
37.514909000,127.133913000,2017/04/17,13:46:27
37.515000000,127.133865000,2017/04/17,13:46:31
37.515094000,127.133826000,2017/04/17,13:46:35
37.515182000,127.133796000,2017/04/17,13:46:39
37.515277000,127.133773000,2017/04/17,13:46:43
37.515366000,127.133750000,2017/04/17,13:46:47
37.515469000,127.133698000,2017/04/17,13:46:52
37.515554000,127.133648000,2017/04/17,13:46:56
37.515645000,127.133594000,2017/04/17,13:47:00
37.515735000,127.133544000,2017/04/17,13:47:04
37.515835000,127.133489000,2017/04/17,13:47:09
37.515925000,127.133449000,2017/04/17,13:47:13
37.516010000,127.133390000,2017/04/17,13:47:17
