x,y,d,t
37.515689000,127.124562000,2017/02/11,02:20:06
37.515695000,127.124589000,2017/02/11,02:20:05
37.515685000,127.124705000,2017/02/11,02:20:12
37.515715000,127.124818000,2017/02/11,02:20:20
37.515726000,127.124938000,2017/02/11,02:20:29
37.515745000,127.125061000,2017/02/11,02:20:39
37.515771000,127.125173000,2017/02/11,02:20:47
37.515784000,127.125302000,2017/02/11,02:20:55
37.515776000,127.125416000,2017/02/11,02:21:02
37.515782000,127.125538000,2017/02/11,02:21:09
37.515794000,127.125660000,2017/02/11,02:21:17
37.515806000,127.125773000,2017/02/11,02:21:24
37.515820000,127.125889000,2017/02/11,02:21:31
37.515843000,127.126011000,2017/02/11,02:21:38
37.515874000,127.126130000,2017/02/11,02:21:45
37.515916000,127.126243000,2017/02/11,02:21:53
37.515965000,127.126355000,2017/02/11,02:22:00
37.516001000,127.126470000,2017/02/11,02:22:07
37.516044000,127.126586000,2017/02/11,02:22:14
37.516107000,127.126684000,2017/02/11,02:22:22
37.516159000,127.126784000,2017/02/11,02:22:29
37.516213000,127.126879000,2017/02/11,02:22:36
37.516273000,127.126973000,2017/02/11,02:22:44
37.516319000,127.127074000,2017/02/11,02:22:51
37.516384000,127.127174000,2017/02/11,02:22:59
37.516445000,127.127271000,2017/02/11,02:23:06
37.516506000,127.127372000,2017/02/11,02:23:13
37.516566000,127.127474000,2017/02/11,02:23:20
37.516640000,127.127538000,2017/02/11,02:23:26
37.516709000,127.127616000,2017/02/11,02:23:33
37.516783000,127.127681000,2017/02/11,02:23:40
37.516863000,127.127756000,2017/02/11,02:23:47
37.516937000,127.127837000,2017/02/11,02:23:54
37.517004000,127.127914000,2017/02/11,02:24:00
37.517090000,127.127971000,2017/02/11,02:24:07
37.517179000,127.128017000,2017/02/11,02:24:14
37.517264000,127.128081000,2017/02/11,02:24:21
37.517338000,127.128146000,2017/02/11,02:24:28
37.517420000,127.128204000,2017/02/11,02:24:35
37.517512000,127.128229000,2017/02/11,02:24:44
37.517596000,127.128271000,2017/02/11,02:24:49
37.517644000,127.128380000,2017/02/11,02:24:54
37.517726000,127.128451000,2017/02/11,02:25:03
37.517813000,127.128499000,2017/02/11,02:25:09
37.517897000,127.128540000,2017/02/11,02:25:15
37.517987000,127.128588000,2017/02/11,02:25:21
37.518087000,127.128617000,2017/02/11,02:25:27
37.518177000,127.128677000,2017/02/11,02:25:33
37.518273000,127.128730000,2017/02/11,02:25:40
37.518369000,127.128773000,2017/02/11,02:25:47
37.518452000,127.128821000,2017/02/11,02:25:53
37.518534000,127.128899000,2017/02/11,02:26:00
37.518603000,127.128991000,2017/02/11,02:26:07
37.518681000,127.129079000,2017/02/11,02:26:14
37.518793000,127.129078000,2017/02/11,02:26:20
37.518891000,127.129061000,2017/02/11,02:26:24
37.518998000,127.129049000,2017/02/11,02:26:29
37.519108000,127.129029000,2017/02/11,02:26:34
37.519212000,127.129005000,2017/02/11,02:26:39
37.519305000,127.128987000,2017/02/11,02:26:43
37.519412000,127.128966000,2017/02/11,02:26:48
37.519509000,127.128937000,2017/02/11,02:26:53
37.519608000,127.128909000,2017/02/11,02:26:58
37.519706000,127.128890000,2017/02/11,02:27:03
37.519801000,127.128867000,2017/02/11,02:27:08
37.519904000,127.128835000,2017/02/11,02:27:13
37.520008000,127.128785000,2017/02/11,02:27:18
37.520097000,127.128751000,2017/02/11,02:27:22
37.520187000,127.128714000,2017/02/11,02:27:26
37.520285000,127.128665000,2017/02/11,02:27:30
37.520377000,127.128614000,2017/02/11,02:27:34
37.520479000,127.128603000,2017/02/11,02:27:38
37.520562000,127.128542000,2017/02/11,02:27:42
37.520658000,127.128478000,2017/02/11,02:27:47
37.520755000,127.128410000,2017/02/11,02:27:52
37.520834000,127.128355000,2017/02/11,02:27:56
37.520916000,127.128290000,2017/02/11,02:28:00
37.520998000,127.128239000,2017/02/11,02:28:04
37.521077000,127.128182000,2017/02/11,02:28:08
37.521157000,127.128120000,2017/02/11,02:28:12
37.521248000,127.128066000,2017/02/11,02:28:16
37.521331000,127.128008000,2017/02/11,02:28:20
37.521413000,127.127950000,2017/02/11,02:28:24
37.521497000,127.127891000,2017/02/11,02:28:28
37.521584000,127.127843000,2017/02/11,02:28:32
37.521684000,127.127781000,2017/02/11,02:28:37
37.521777000,127.127715000,2017/02/11,02:28:42
37.521866000,127.127667000,2017/02/11,02:28:46
37.521959000,127.127627000,2017/02/11,02:28:50
37.522052000,127.127583000,2017/02/11,02:28:54
37.522146000,127.127526000,2017/02/11,02:28:59
37.522237000,127.127452000,2017/02/11,02:29:04
37.522333000,127.127395000,2017/02/11,02:29:10
37.522431000,127.127345000,2017/02/11,02:29:16
37.522523000,127.127294000,2017/02/11,02:29:23
37.522609000,127.127240000,2017/02/11,02:29:29
37.522691000,127.127196000,2017/02/11,02:29:35
37.522791000,127.127179000,2017/02/11,02:29:42
37.522881000,127.127218000,2017/02/11,02:29:48
37.522974000,127.127267000,2017/02/11,02:29:55
37.523060000,127.127320000,2017/02/11,02:30:01
37.523145000,127.127374000,2017/02/11,02:30:07
37.523236000,127.127441000,2017/02/11,02:30:14
37.523328000,127.127496000,2017/02/11,02:30:21
37.523419000,127.127551000,2017/02/11,02:30:28
37.523506000,127.127601000,2017/02/11,02:30:35
37.523579000,127.127510000,2017/02/11,02:30:42
37.523655000,127.127446000,2017/02/11,02:30:48
37.523742000,127.127394000,2017/02/11,02:30:56
37.523821000,127.127327000,2017/02/11,02:31:03
37.523915000,127.127270000,2017/02/11,02:31:09
