x,y,d,t
37.524552000,127.105589000,2015/11/15,09:04:46
37.524548000,127.105626000,2015/11/15,09:04:48
37.524542000,127.105745000,2015/11/15,09:04:51
37.524541000,127.105931000,2015/11/15,09:04:56
37.524543000,127.106062000,2015/11/15,09:04:59
37.524535000,127.106201000,2015/11/15,09:05:02
37.524532000,127.106318000,2015/11/15,09:05:04
37.524533000,127.106435000,2015/11/15,09:05:06
37.524539000,127.106592000,2015/11/15,09:05:09
37.524544000,127.106739000,2015/11/15,09:05:12
37.524546000,127.106861000,2015/11/15,09:05:15
37.524556000,127.106987000,2015/11/15,09:05:18
37.524567000,127.107125000,2015/11/15,09:05:21
37.524564000,127.107238000,2015/11/15,09:05:24
37.524557000,127.107374000,2015/11/15,09:05:28
37.524594000,127.107496000,2015/11/15,09:05:32
37.524603000,127.107645000,2015/11/15,09:05:36
37.524585000,127.107777000,2015/11/15,09:05:39
37.524564000,127.107892000,2015/11/15,09:05:42
37.524569000,127.108009000,2015/11/15,09:05:45
37.524578000,127.108126000,2015/11/15,09:05:48
37.524569000,127.108248000,2015/11/15,09:05:51
37.524566000,127.108376000,2015/11/15,09:05:54
37.524572000,127.108508000,2015/11/15,09:05:57
37.524572000,127.108651000,2015/11/15,09:06:00
37.524571000,127.108779000,2015/11/15,09:06:03
37.524571000,127.108897000,2015/11/15,09:06:06
37.524560000,127.109044000,2015/11/15,09:06:10
37.524553000,127.109186000,2015/11/15,09:06:14
37.524553000,127.109343000,2015/11/15,09:06:18
37.524557000,127.109490000,2015/11/15,09:06:22
37.524554000,127.109637000,2015/11/15,09:06:26
37.524548000,127.109782000,2015/11/15,09:06:30
37.524552000,127.109903000,2015/11/15,09:06:33
37.524563000,127.110050000,2015/11/15,09:06:37
37.524553000,127.110188000,2015/11/15,09:06:41
37.524561000,127.110321000,2015/11/15,09:06:45
37.524565000,127.110446000,2015/11/15,09:06:49
37.524567000,127.110576000,2015/11/15,09:06:53
37.524549000,127.110700000,2015/11/15,09:06:57
37.524541000,127.110834000,2015/11/15,09:07:01
37.524552000,127.110960000,2015/11/15,09:07:05
37.524557000,127.111095000,2015/11/15,09:07:09
37.524555000,127.111216000,2015/11/15,09:07:13
37.524556000,127.111341000,2015/11/15,09:07:17
37.524550000,127.111465000,2015/11/15,09:07:21
37.524553000,127.111591000,2015/11/15,09:07:25
37.524555000,127.111712000,2015/11/15,09:07:29
37.524566000,127.111838000,2015/11/15,09:07:33
37.524559000,127.111961000,2015/11/15,09:07:37
37.524564000,127.112088000,2015/11/15,09:07:41
37.524563000,127.112213000,2015/11/15,09:07:45
37.524559000,127.112335000,2015/11/15,09:07:49
37.524553000,127.112473000,2015/11/15,09:07:54
37.524549000,127.112613000,2015/11/15,09:07:59
37.524549000,127.112757000,2015/11/15,09:08:04
37.524547000,127.112883000,2015/11/15,09:08:08
37.524554000,127.113016000,2015/11/15,09:08:13
37.524552000,127.113138000,2015/11/15,09:08:17
37.524565000,127.113256000,2015/11/15,09:08:21
37.524557000,127.113374000,2015/11/15,09:08:25
37.524555000,127.113490000,2015/11/15,09:08:29
37.524555000,127.113604000,2015/11/15,09:08:33
37.524560000,127.113720000,2015/11/15,09:08:37
37.524564000,127.113858000,2015/11/15,09:08:42
37.524569000,127.113998000,2015/11/15,09:08:47
37.524572000,127.114132000,2015/11/15,09:08:52
37.524575000,127.114259000,2015/11/15,09:08:57
37.524574000,127.114391000,2015/11/15,09:09:02
37.524574000,127.114509000,2015/11/15,09:09:06
37.524572000,127.114626000,2015/11/15,09:09:10
37.524569000,127.114741000,2015/11/15,09:09:14
37.524567000,127.114857000,2015/11/15,09:09:18
37.524576000,127.114991000,2015/11/15,09:09:23
37.524578000,127.115132000,2015/11/15,09:09:28
37.524581000,127.115245000,2015/11/15,09:09:32
37.524580000,127.115365000,2015/11/15,09:09:36
37.524576000,127.115501000,2015/11/15,09:09:41
37.524565000,127.115636000,2015/11/15,09:09:46
37.524555000,127.115751000,2015/11/15,09:09:50
37.524531000,127.115869000,2015/11/15,09:09:54
37.524477000,127.115991000,2015/11/15,09:09:58
37.524447000,127.116127000,2015/11/15,09:10:02
37.524411000,127.116274000,2015/11/15,09:10:06
37.524373000,127.116410000,2015/11/15,09:10:10
37.524340000,127.116533000,2015/11/15,09:10:14
37.524335000,127.116670000,2015/11/15,09:10:18
37.524337000,127.116797000,2015/11/15,09:10:24
37.524353000,127.116944000,2015/11/15,09:10:29
37.524307000,127.117075000,2015/11/15,09:10:33
37.524292000,127.117209000,2015/11/15,09:10:37
37.524322000,127.117319000,2015/11/15,09:10:40
37.524377000,127.117414000,2015/11/15,09:10:43
37.524441000,127.117495000,2015/11/15,09:10:46
37.524499000,127.117589000,2015/11/15,09:10:49
37.524558000,127.117693000,2015/11/15,09:10:52
37.524610000,127.117798000,2015/11/15,09:10:55
37.524664000,127.117897000,2015/11/15,09:10:58
37.524710000,127.117996000,2015/11/15,09:11:01
37.524759000,127.118096000,2015/11/15,09:11:04
37.524791000,127.118208000,2015/11/15,09:11:07
37.524795000,127.118359000,2015/11/15,09:11:11
37.524796000,127.118474000,2015/11/15,09:11:14
37.524812000,127.118620000,2015/11/15,09:11:18
37.524841000,127.118757000,2015/11/15,09:11:22
37.524871000,127.118888000,2015/11/15,09:11:26
37.524896000,127.119015000,2015/11/15,09:11:30
37.524925000,127.119136000,2015/11/15,09:11:34
37.524957000,127.119253000,2015/11/15,09:11:38
37.524990000,127.119367000,2015/11/15,09:11:42
37.525028000,127.119470000,2015/11/15,09:11:46
37.525063000,127.119585000,2015/11/15,09:11:50
37.525092000,127.119706000,2015/11/15,09:11:54
37.525115000,127.119821000,2015/11/15,09:11:58
37.525141000,127.119932000,2015/11/15,09:12:02
37.525170000,127.120048000,2015/11/15,09:12:06
37.525200000,127.120165000,2015/11/15,09:12:10
37.525230000,127.120283000,2015/11/15,09:12:14
37.525260000,127.120411000,2015/11/15,09:12:18
37.525288000,127.120548000,2015/11/15,09:12:22
37.525318000,127.120670000,2015/11/15,09:12:26
37.525346000,127.120793000,2015/11/15,09:12:30
37.525378000,127.120908000,2015/11/15,09:12:34
37.525410000,127.121032000,2015/11/15,09:12:38
37.525431000,127.121147000,2015/11/15,09:12:42
37.525453000,127.121283000,2015/11/15,09:12:47
37.525465000,127.121413000,2015/11/15,09:12:52
37.525478000,127.121537000,2015/11/15,09:12:57
37.525482000,127.121654000,2015/11/15,09:13:01
37.525490000,127.121775000,2015/11/15,09:13:05
37.525492000,127.121892000,2015/11/15,09:13:09
37.525491000,127.122006000,2015/11/15,09:13:13
