x,y,d,t
37.499285000,127.131328000,2015/09/06,03:41:28
37.501538000,127.137011000,2015/09/06,03:41:45
37.501628000,127.136982000,2015/09/06,03:42:25
37.501782000,127.136994000,2015/09/06,03:42:27
37.501790000,127.136887000,2015/09/06,03:42:33
37.501899000,127.136889000,2015/09/06,03:42:40
37.501940000,127.136791000,2015/09/06,03:42:51
37.502028000,127.136778000,2015/09/06,03:42:57
37.502110000,127.136711000,2015/09/06,03:43:01
37.502194000,127.136675000,2015/09/06,03:43:06
37.502282000,127.136710000,2015/09/06,03:43:11
37.502367000,127.136730000,2015/09/06,03:43:16
37.502471000,127.136726000,2015/09/06,03:43:22
37.502555000,127.136686000,2015/09/06,03:43:25
37.502637000,127.136645000,2015/09/06,03:43:28
37.502743000,127.136610000,2015/09/06,03:43:32
37.502830000,127.136579000,2015/09/06,03:43:36
37.502915000,127.136544000,2015/09/06,03:43:39
37.503013000,127.136539000,2015/09/06,03:43:46
37.503101000,127.136495000,2015/09/06,03:43:49
37.503187000,127.136469000,2015/09/06,03:43:53
37.503318000,127.136471000,2015/09/06,03:43:57
37.503431000,127.136474000,2015/09/06,03:44:01
37.503517000,127.136454000,2015/09/06,03:44:04
37.503596000,127.136487000,2015/09/06,03:44:07
37.503700000,127.136517000,2015/09/06,03:44:12
37.503789000,127.136561000,2015/09/06,03:44:16
37.503874000,127.136588000,2015/09/06,03:44:21
37.503959000,127.136601000,2015/09/06,03:44:26
37.504064000,127.136548000,2015/09/06,03:44:36
37.504170000,127.136561000,2015/09/06,03:44:37
37.504268000,127.136583000,2015/09/06,03:44:42
37.504373000,127.136583000,2015/09/06,03:44:45
37.504480000,127.136570000,2015/09/06,03:44:49
37.504569000,127.136595000,2015/09/06,03:44:55
37.504655000,127.136591000,2015/09/06,03:44:59
37.504750000,127.136588000,2015/09/06,03:45:03
37.504840000,127.136551000,2015/09/06,03:45:07
37.504939000,127.136535000,2015/09/06,03:45:11
37.505028000,127.136496000,2015/09/06,03:45:16
37.505109000,127.136487000,2015/09/06,03:45:19
37.505190000,127.136470000,2015/09/06,03:45:27
