x,y,d,t
37.498368000,127.132243000,2016/03/01,06:49:26
37.498064000,127.132121000,2016/03/01,06:49:35
37.498544000,127.131782000,2016/03/01,06:49:40
37.498949000,127.131861000,2016/03/01,06:49:42
37.498660000,127.132026000,2016/03/01,06:49:43
37.498862000,127.131909000,2016/03/01,06:49:44
37.498864000,127.132088000,2016/03/01,06:49:45
37.498963000,127.132011000,2016/03/01,06:49:46
37.499085000,127.131983000,2016/03/01,06:49:47
37.499424000,127.131888000,2016/03/01,06:49:49
37.499463000,127.131991000,2016/03/01,06:49:52
37.499493000,127.131781000,2016/03/01,06:49:55
37.499532000,127.132170000,2016/03/01,06:49:57
37.499558000,127.131782000,2016/03/01,06:49:59
37.499605000,127.131667000,2016/03/01,06:50:09
37.499649000,127.131567000,2016/03/01,06:50:17
37.499562000,127.131616000,2016/03/01,06:51:00
37.499528000,127.131727000,2016/03/01,06:51:08
37.499440000,127.131776000,2016/03/01,06:51:16
37.499358000,127.131704000,2016/03/01,06:51:25
37.499274000,127.131650000,2016/03/01,06:51:36
37.499243000,127.131767000,2016/03/01,06:51:44
37.499260000,127.131879000,2016/03/01,06:51:49
37.499297000,127.131996000,2016/03/01,06:51:57
37.499361000,127.132080000,2016/03/01,06:52:02
37.499375000,127.132195000,2016/03/01,06:52:09
37.499296000,127.132290000,2016/03/01,06:52:16
37.499231000,127.132375000,2016/03/01,06:52:22
37.499172000,127.132461000,2016/03/01,06:52:29
37.499125000,127.132560000,2016/03/01,06:52:35
37.499075000,127.132669000,2016/03/01,06:52:42
37.499038000,127.132778000,2016/03/01,06:52:49
37.498982000,127.132867000,2016/03/01,06:52:56
37.498928000,127.132965000,2016/03/01,06:53:04
37.498872000,127.133067000,2016/03/01,06:53:11
37.498819000,127.133160000,2016/03/01,06:53:18
37.498762000,127.133267000,2016/03/01,06:53:25
37.498706000,127.133371000,2016/03/01,06:53:32
37.498654000,127.133474000,2016/03/01,06:53:39
37.498583000,127.133545000,2016/03/01,06:53:46
37.498534000,127.133647000,2016/03/01,06:53:55
37.498517000,127.133765000,2016/03/01,06:54:03
37.498576000,127.133872000,2016/03/01,06:54:10
37.498641000,127.133966000,2016/03/01,06:54:17
37.498701000,127.134063000,2016/03/01,06:54:24
37.498758000,127.134155000,2016/03/01,06:54:31
37.498770000,127.134270000,2016/03/01,06:54:38
37.498800000,127.134379000,2016/03/01,06:54:46
37.498875000,127.134450000,2016/03/01,06:54:53
37.498946000,127.134536000,2016/03/01,06:55:00
37.499021000,127.134616000,2016/03/01,06:55:09
37.499092000,127.134686000,2016/03/01,06:55:17
37.499149000,127.134775000,2016/03/01,06:55:26
37.499222000,127.134841000,2016/03/01,06:55:35
37.499274000,127.134938000,2016/03/01,06:55:41
37.499344000,127.135029000,2016/03/01,06:55:48
37.499401000,127.135137000,2016/03/01,06:55:56
37.499460000,127.135229000,2016/03/01,06:56:04
37.499539000,127.135296000,2016/03/01,06:56:12
37.499613000,127.135375000,2016/03/01,06:56:19
37.499678000,127.135471000,2016/03/01,06:56:27
37.499754000,127.135544000,2016/03/01,06:56:34
37.499826000,127.135616000,2016/03/01,06:56:41
37.499902000,127.135685000,2016/03/01,06:56:47
37.499972000,127.135777000,2016/03/01,06:56:54
37.500024000,127.135874000,2016/03/01,06:57:01
37.500103000,127.135953000,2016/03/01,06:57:09
37.500171000,127.136038000,2016/03/01,06:57:16
37.500267000,127.136087000,2016/03/01,06:57:25
37.500356000,127.136151000,2016/03/01,06:57:33
37.500430000,127.136219000,2016/03/01,06:57:41
37.500475000,127.136320000,2016/03/01,06:57:52
37.500521000,127.136424000,2016/03/01,06:58:00
37.500591000,127.136519000,2016/03/01,06:58:08
37.500654000,127.136600000,2016/03/01,06:58:15
37.500707000,127.136708000,2016/03/01,06:58:23
37.500789000,127.136777000,2016/03/01,06:58:34
37.500852000,127.136863000,2016/03/01,06:58:43
37.500933000,127.136922000,2016/03/01,06:58:51
37.501020000,127.136977000,2016/03/01,06:58:59
37.501103000,127.137028000,2016/03/01,06:59:06
37.501179000,127.137099000,2016/03/01,06:59:14
37.501247000,127.137200000,2016/03/01,06:59:22
37.501337000,127.137225000,2016/03/01,06:59:29
37.501416000,127.137149000,2016/03/01,06:59:37
37.501489000,127.137077000,2016/03/01,06:59:44
