x,y,d,t
37.499200000,127.132217000,2016/06/20,12:18:19
37.501591000,127.137018000,2016/06/20,12:18:31
37.501682000,127.137013000,2016/06/20,12:18:39
37.501783000,127.136992000,2016/06/20,12:18:43
37.501875000,127.136928000,2016/06/20,12:18:47
37.501954000,127.136882000,2016/06/20,12:18:51
37.502041000,127.136814000,2016/06/20,12:18:56
37.502139000,127.136784000,2016/06/20,12:19:01
37.502248000,127.136762000,2016/06/20,12:19:05
37.502339000,127.136747000,2016/06/20,12:19:08
37.502420000,127.136767000,2016/06/20,12:19:13
37.502509000,127.136742000,2016/06/20,12:19:18
37.502617000,127.136719000,2016/06/20,12:19:22
37.502730000,127.136729000,2016/06/20,12:19:27
37.502820000,127.136690000,2016/06/20,12:19:31
37.502908000,127.136649000,2016/06/20,12:19:36
37.502964000,127.136736000,2016/06/20,12:19:40
37.503043000,127.136650000,2016/06/20,12:19:43
37.503134000,127.136673000,2016/06/20,12:19:47
37.503225000,127.136657000,2016/06/20,12:19:50
37.503320000,127.136712000,2016/06/20,12:19:54
37.503419000,127.136716000,2016/06/20,12:19:58
37.503514000,127.136723000,2016/06/20,12:20:02
37.503620000,127.136723000,2016/06/20,12:20:07
37.503710000,127.136745000,2016/06/20,12:20:11
37.503792000,127.136732000,2016/06/20,12:20:15
37.503883000,127.136735000,2016/06/20,12:20:19
37.503969000,127.136709000,2016/06/20,12:20:27
37.504062000,127.136743000,2016/06/20,12:20:30
37.504176000,127.136698000,2016/06/20,12:20:32
37.504278000,127.136665000,2016/06/20,12:20:36
37.504378000,127.136678000,2016/06/20,12:20:41
37.504471000,127.136658000,2016/06/20,12:20:44
37.504561000,127.136651000,2016/06/20,12:20:49
37.504655000,127.136655000,2016/06/20,12:20:54
37.504736000,127.136643000,2016/06/20,12:20:57
37.504845000,127.136597000,2016/06/20,12:21:02
37.504933000,127.136585000,2016/06/20,12:21:05
37.505020000,127.136577000,2016/06/20,12:21:08
37.505118000,127.136577000,2016/06/20,12:21:12
37.505217000,127.136556000,2016/06/20,12:21:16
37.505320000,127.136562000,2016/06/20,12:21:19
37.505415000,127.136561000,2016/06/20,12:21:22
37.505512000,127.136555000,2016/06/20,12:21:26
37.505593000,127.136542000,2016/06/20,12:21:29
37.505674000,127.136529000,2016/06/20,12:21:32
37.505839000,127.136416000,2016/06/20,12:21:37
37.505872000,127.136536000,2016/06/20,12:21:40
37.505967000,127.136546000,2016/06/20,12:21:45
37.506059000,127.136525000,2016/06/20,12:21:48
37.506141000,127.136557000,2016/06/20,12:21:52
37.506236000,127.136548000,2016/06/20,12:21:56
37.506318000,127.136551000,2016/06/20,12:21:59
37.506396000,127.136501000,2016/06/20,12:22:03
37.506492000,127.136467000,2016/06/20,12:22:07
37.506575000,127.136484000,2016/06/20,12:22:12
37.506688000,127.136474000,2016/06/20,12:22:16
37.506769000,127.136475000,2016/06/20,12:22:20
37.506871000,127.136466000,2016/06/20,12:22:24
37.506968000,127.136455000,2016/06/20,12:22:28
37.507061000,127.136445000,2016/06/20,12:22:31
37.507159000,127.136427000,2016/06/20,12:22:34
37.507250000,127.136395000,2016/06/20,12:22:39
37.507330000,127.136370000,2016/06/20,12:22:43
37.507432000,127.136362000,2016/06/20,12:22:47
37.507512000,127.136395000,2016/06/20,12:22:51
37.507612000,127.136374000,2016/06/20,12:22:56
37.507700000,127.136368000,2016/06/20,12:23:00
37.507782000,127.136332000,2016/06/20,12:23:03
37.507863000,127.136345000,2016/06/20,12:23:06
37.507945000,127.136323000,2016/06/20,12:23:08
37.508043000,127.136274000,2016/06/20,12:23:11
37.508829000,127.136137000,2016/06/20,12:23:39
37.508927000,127.136151000,2016/06/20,12:23:42
37.509011000,127.136153000,2016/06/20,12:23:44
37.509107000,127.136159000,2016/06/20,12:23:48
37.509205000,127.136153000,2016/06/20,12:23:52
37.509286000,127.136134000,2016/06/20,12:23:55
37.509395000,127.136140000,2016/06/20,12:23:58
37.509476000,127.136149000,2016/06/20,12:24:01
37.509571000,127.136141000,2016/06/20,12:24:04
37.509666000,127.136130000,2016/06/20,12:24:08
37.509768000,127.136150000,2016/06/20,12:24:12
37.509873000,127.136132000,2016/06/20,12:24:16
37.509960000,127.136128000,2016/06/20,12:24:19
37.510049000,127.136111000,2016/06/20,12:24:22
37.510133000,127.136094000,2016/06/20,12:24:25
37.510215000,127.136090000,2016/06/20,12:24:29
37.510311000,127.136057000,2016/06/20,12:24:33
37.510398000,127.136050000,2016/06/20,12:24:37
37.510483000,127.136015000,2016/06/20,12:24:40
37.510582000,127.136005000,2016/06/20,12:24:43
37.510682000,127.135972000,2016/06/20,12:24:47
37.510767000,127.135946000,2016/06/20,12:24:51
37.510856000,127.135936000,2016/06/20,12:24:55
37.510951000,127.135906000,2016/06/20,12:24:58
37.511050000,127.135886000,2016/06/20,12:25:02
37.511139000,127.135838000,2016/06/20,12:25:06
37.511232000,127.135790000,2016/06/20,12:25:10
37.511323000,127.135765000,2016/06/20,12:25:14
37.511409000,127.135719000,2016/06/20,12:25:18
37.511486000,127.135681000,2016/06/20,12:25:21
37.511583000,127.135628000,2016/06/20,12:25:25
37.511686000,127.135582000,2016/06/20,12:25:30
37.511765000,127.135513000,2016/06/20,12:25:34
37.511846000,127.135472000,2016/06/20,12:25:37
37.511926000,127.135431000,2016/06/20,12:25:41
37.511994000,127.135369000,2016/06/20,12:25:44
37.512073000,127.135329000,2016/06/20,12:25:48
37.512152000,127.135282000,2016/06/20,12:25:51
37.512241000,127.135236000,2016/06/20,12:25:55
37.512336000,127.135209000,2016/06/20,12:25:59
37.512416000,127.135167000,2016/06/20,12:26:03
37.512494000,127.135128000,2016/06/20,12:26:07
37.512590000,127.135126000,2016/06/20,12:26:11
37.512675000,127.135083000,2016/06/20,12:26:14
37.512781000,127.135086000,2016/06/20,12:26:18
37.512865000,127.135074000,2016/06/20,12:26:22
37.512941000,127.135033000,2016/06/20,12:26:26
37.513035000,127.134962000,2016/06/20,12:26:29
37.513119000,127.134912000,2016/06/20,12:26:32
37.513201000,127.134874000,2016/06/20,12:26:35
37.513289000,127.134833000,2016/06/20,12:26:38
37.513378000,127.134793000,2016/06/20,12:26:41
37.513458000,127.134737000,2016/06/20,12:26:44
37.513560000,127.134682000,2016/06/20,12:26:48
37.513631000,127.134610000,2016/06/20,12:26:52
37.513724000,127.134565000,2016/06/20,12:26:56
37.513802000,127.134535000,2016/06/20,12:27:00
37.513892000,127.134475000,2016/06/20,12:27:04
37.513974000,127.134445000,2016/06/20,12:27:09
37.514051000,127.134368000,2016/06/20,12:27:12
37.514137000,127.134359000,2016/06/20,12:27:15
37.514224000,127.134321000,2016/06/20,12:27:20
37.514299000,127.134260000,2016/06/20,12:27:23
37.514384000,127.134247000,2016/06/20,12:27:27
37.514479000,127.134190000,2016/06/20,12:27:31
37.514570000,127.134139000,2016/06/20,12:27:35
37.514645000,127.134088000,2016/06/20,12:27:38
37.514744000,127.134038000,2016/06/20,12:27:42
37.514821000,127.134001000,2016/06/20,12:27:46
37.514917000,127.133947000,2016/06/20,12:27:50
37.514997000,127.133911000,2016/06/20,12:27:53
37.515082000,127.133885000,2016/06/20,12:27:56
37.515165000,127.133859000,2016/06/20,12:28:00
37.515243000,127.133907000,2016/06/20,12:28:05
37.515328000,127.133853000,2016/06/20,12:28:08
37.515408000,127.133789000,2016/06/20,12:28:13
37.515485000,127.133722000,2016/06/20,12:28:16
37.515567000,127.133643000,2016/06/20,12:28:19
37.515650000,127.133590000,2016/06/20,12:28:23
37.515728000,127.133548000,2016/06/20,12:28:27
37.515815000,127.133523000,2016/06/20,12:28:31
37.515901000,127.133474000,2016/06/20,12:28:35
37.515979000,127.133381000,2016/06/20,12:28:38
37.516064000,127.133336000,2016/06/20,12:28:43
37.516122000,127.133224000,2016/06/20,12:28:47
37.516185000,127.133149000,2016/06/20,12:28:50
37.516243000,127.133069000,2016/06/20,12:28:54
37.516268000,127.132959000,2016/06/20,12:28:58
37.516320000,127.132854000,2016/06/20,12:29:02
37.516360000,127.132757000,2016/06/20,12:29:05
37.516418000,127.132663000,2016/06/20,12:29:09
37.516469000,127.132558000,2016/06/20,12:29:14
37.516526000,127.132483000,2016/06/20,12:29:18
37.516606000,127.132416000,2016/06/20,12:29:22
37.516675000,127.132347000,2016/06/20,12:29:26
37.516704000,127.132249000,2016/06/20,12:29:29
37.516733000,127.132137000,2016/06/20,12:29:34
37.516757000,127.132034000,2016/06/20,12:29:37
37.516768000,127.131923000,2016/06/20,12:29:41
37.516791000,127.131803000,2016/06/20,12:29:45
37.516843000,127.131707000,2016/06/20,12:29:49
37.516884000,127.131612000,2016/06/20,12:29:54
37.517008000,127.131599000,2016/06/20,12:29:57
37.517102000,127.131582000,2016/06/20,12:30:01
37.517128000,127.131449000,2016/06/20,12:30:03
37.517215000,127.131296000,2016/06/20,12:30:05
