x,y,d,t
37.497091000,127.132477000,2016/04/02,03:01:32
37.497125000,127.132413000,2016/04/02,03:01:36
37.497207000,127.132466000,2016/04/02,03:01:40
37.497207000,127.132466000,2016/04/02,03:01:41
37.498905000,127.134664000,2016/04/02,03:05:06
37.498938000,127.134685000,2016/04/02,03:05:09
37.499008000,127.134776000,2016/04/02,03:05:16
37.499073000,127.134867000,2016/04/02,03:05:23
37.499153000,127.134937000,2016/04/02,03:05:33
37.499211000,127.135026000,2016/04/02,03:05:39
37.499274000,127.135108000,2016/04/02,03:05:46
37.499334000,127.135207000,2016/04/02,03:05:53
37.499401000,127.135291000,2016/04/02,03:06:00
37.499462000,127.135375000,2016/04/02,03:06:07
37.499543000,127.135434000,2016/04/02,03:06:12
37.499618000,127.135500000,2016/04/02,03:06:18
37.499689000,127.135574000,2016/04/02,03:06:25
37.499765000,127.135645000,2016/04/02,03:06:31
37.499848000,127.135698000,2016/04/02,03:06:40
37.499906000,127.135796000,2016/04/02,03:06:49
37.499984000,127.135885000,2016/04/02,03:06:58
37.500058000,127.135969000,2016/04/02,03:07:05
37.500125000,127.136058000,2016/04/02,03:07:13
37.500188000,127.136156000,2016/04/02,03:07:19
37.500273000,127.136233000,2016/04/02,03:07:26
37.500353000,127.136293000,2016/04/02,03:07:34
37.500399000,127.136396000,2016/04/02,03:07:41
37.500474000,127.136476000,2016/04/02,03:07:47
37.500550000,127.136563000,2016/04/02,03:07:55
37.500630000,127.136641000,2016/04/02,03:08:03
37.500691000,127.136742000,2016/04/02,03:08:10
37.500761000,127.136834000,2016/04/02,03:08:16
37.500843000,127.136896000,2016/04/02,03:08:23
37.500917000,127.136971000,2016/04/02,03:08:30
37.500996000,127.137046000,2016/04/02,03:08:37
37.501027000,127.137155000,2016/04/02,03:08:43
37.501115000,127.137231000,2016/04/02,03:08:51
37.501194000,127.137315000,2016/04/02,03:08:57
37.501291000,127.137295000,2016/04/02,03:09:02
37.501360000,127.137218000,2016/04/02,03:09:07
37.501434000,127.137145000,2016/04/02,03:09:16
37.501483000,127.137078000,2016/04/02,03:09:34
